Government transparency enables the public to hold the government accountable for how they spend their money.,GOVERNMENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,RELATED IS CLOSELY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,JUDGEMENT IS CLOUDED,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,RELATED IS CLOSELY,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,RELATED IS CLOSELY,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT IS REFEREE,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,STAGES IS ENTERING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",ANALYZING IS DISSECTING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,JOB IS HANDED,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITY IS SEIZE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",RELATED IS CLOSELY,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,RELATED IS CLOSELY,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,ACCOUNTS IS LANDED,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,RELATED IS CLOSELY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,RELATED IS CLOSELY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,SQUEEZED IS WAY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,WHOLES ARE POSSESSORS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,GOAL IS WAY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,RELATED IS CLOSELY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ACHIEVING POWER IS MOVING UPWARDS,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,INFLUENCE IS PEAK,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,COMMUNICATING IS POINTING,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,STAGES IS ENTERING,ACQUIRING IDEAS IS EATING
This article is hard to digest.,ARTICLE IS DIGEST,ACQUIRING IDEAS IS EATING
The car is in motion.,MOTION IS IN,ACTION IS BEING IN A LOCATION
