Government transparency enables the public to hold the government accountable for how they spend their money.,PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,IMPROVING A STATE IS MOTION TO A PREFERRED LOCATION,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,EDUCATION IS COMPONENT OF BUILDING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,NATIONAL INFRASTRUCTURE IS A BUILDING,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,IMPORTANCE IS WEIGHT,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS SUPPORTING A PHYSICAL STRUCTURE,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS STRENGTHENING AN OBJECT,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",KNOWING IS SEEING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,PAST IS BEHIND,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,RELATEDNESS IS PROXIMITY,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",HIERARCHY IS A VERTICAL STRUCTURE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,SENSING IS SMELLING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,ANGER IS FIRE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,KNOWING IS SEEING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,EXISTENCE IS VISIBILITY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,NOW IS HERE,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,EFFECTIVE GOVERNMENT INSTITUTION IS A STRONG BUILDING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,UNDERSTANDING IS FOLLOWING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME,ACHIEVING POWER IS MOVING UPWARDS
