Government transparency enables the public to hold the government accountable for how they spend their money.,PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,DISTINGUISHING IS DIVIDING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,COMMUNICATING IS SHOWING,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT IS REFEREE,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,WHOLES ARE POSSESSORS,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",ANALYZING IS DISSECTING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITIES ARE OBJECTS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,WHOLES ARE CONTAINERS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,COMMUNICATING IS POINTING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,WHOLES ARE POSSESSORS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,WHOLES ARE POSSESSORS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,COMMUNICATING IS GUIDING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,WHOLES ARE POSSESSORS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ACHIEVING POWER IS MOVING UPWARDS,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,COMMUNICATING IS POINTING,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,Ongoing causation is nourishing,ACQUIRING IDEAS IS EATING
This article is hard to digest.,UNDERSTANDING IS DIGESTING,ACQUIRING IDEAS IS EATING
The car is in motion.,ACTION IS MOTION,ACTION IS BEING IN A LOCATION
I'm going to leave.,COMMUNICATING IS GUIDING,ACTION IS BEING IN A LOCATION
