Government transparency enables the public to hold the government accountable for how they spend their money.,GOVERNMENT IS AN ORGANISM,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,FORMING WORDS IS SHAPING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,GOVERNMENT IS AN ORGANISM,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRESPASSING,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT IS AN ORGANISM,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,GOVERNMENT IS AN ORGANISM,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",GOVERNMENT IS AN ORGANISM,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,INSTITUTION IS AN ORGANISM,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",EMOTION IS A FORCE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,MORAL ACTION IS NURTURANCE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,ATTAINING CONTROL IS GAINING A POSSESSION,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,PAST IS BEHIND,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,EXISTENCE IS VISIBILITY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,AMOUNT OF PROGRESS IS AMOUNT OF DISTANCE MOVED,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,EXISTENCE IS VISIBILITY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ADDRESSING POVERTY IS WAGING WAR,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,CAUSES ARE FORCES,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,UNDERSTANDING IS DIGESTING,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,DESIRE IS HUNGER,ACQUIRING IDEAS IS EATING
This article is hard to digest.,INFORMATION IS CONTENTS,ACQUIRING IDEAS IS EATING
