Government transparency enables the public to hold the government accountable for how they spend their money.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,ABILITY TO KNOW IS ABILITY TO SEE,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS HIDING,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITY IS SEIZE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,AFFECTION IS WARMTH,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,ACTION IS MOTION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ACHIEVING POWER IS MOVING UPWARDS,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,ACHIEVING POWER IS MOVING UPWARDS,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,ACQUIRING IDEAS IS EATING,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,ACQUIRING IDEAS IS EATING,ACQUIRING IDEAS IS EATING
This article is hard to digest.,UNDERSTANDING IS DIGESTING,ACQUIRING IDEAS IS EATING
The car is in motion.,ACTION IS MOTION,ACTION IS BEING IN A LOCATION
I'm going to leave.,ACTION IS MOTION ALONG A PATH,ACTION IS BEING IN A LOCATION
She's close to resigning.,RESIGNING IS CLOSE,ACTION IS BEING IN A LOCATION
Devastation from the hurricane thrust the nation into recession.,NATURAL DISASTER IS ECONOMIC HARDSHIP,ACTION IS MOTION ALONG A PATH
Congress' refusal to compromise is moving the country toward economic ruin.,ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,ACTION IS MOTION ALONG A PATH
This computer program turns the power on and off.,ACTION IS OBJECT MANIPULATION,ACTION IS MOTION
He exercised to the point of exhaustion.,ACQUIRING IDEAS IS EATING,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She squeezed her way to thinner thighs.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He drank himself out of the promotion.,ACCEPTING IS SWALLOWING,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He went on with what he was doing.,ACTION IS CONTINUING ALONG A PATH,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She went back to sleep.,ACTION IS RETURNING TO A LOCATION,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She successfully navigated her way through the contract negotiations.,ACTIVITIES ARE JOURNEYS,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
How did Jerry get out of washing the windows?,ACTION IS SELF-PROPELLED MOTION ALONG A PATH,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
"Outside of washing the windows, what else did you do?",ACTION IS BEING IN A LOCATION,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
I put a lot of energy into washing the windows.,ACTION IS MOTION ALONG A PATH,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
