"Even if we low ball the numbers, defensive use of a firearm by otherwise lawful individuals is not as rare as criminal abuse of a firearm.",OTHER
"Edited by Ron Sider and Heidi Unruh, they take us deep into the world of children and youth who are suffering the ravaging abuse of poverty.",POVERTY IS A DISEASE
"But instead of being ashamed, Wal-Mart sees its abuse of taxpayers as a badge of honor and even threatens to hold Maryland jobs hostage which is all but extortion.",GOVERNMENT IS A LEECH
It is environmental blackmail and is an immoral abuse of relative wealth and a serious form of exploitation.,EXPLOITATION OF RESOURCES IS A PARASITIC INFECTION
"The story went on to be a classic tale of a customer having a problem, contacting a giant organization, and feeling like their call for help echoed into the unknown abyss of bureaucracy.",BUREAUCRACY IS A MAZE
"With the passage of the 17th Amendment, America moved closer to the abyss of democracy and away from the protections which were designed into our system by our Founding Fathers.",DEMOCRACY IS AN EQUAL PARTNERSHIP
TC thinks EP voters can be duped into believing that she is shining her holy light into the abyss of government in this 'burg because she is their knight in shining armor.,GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS SUPPORTING A PHYSICAL STRUCTURE
"He lowers his hand but lifts his chin in self-righteous indignation, clearly trying to make me feel like an inferior low-life who is being dragged into the abyss of guns, drugs, and alcohol.",GUN CONTROL IS PHYSICAL RESTRAINT
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",POVERTY IS A MOTION IMPEDIMENT
"As Jesus and Elijah gave the widows their sons, today, as a society we must ask who in society should be given a safety net, so they will not fall into the abyss of poverty.",POVERTY IS A MOTION IMPEDIMENT
In the process they burn their fingers and even fall deeper down the abyss of poverty.,POVERTY IS A MOTION IMPEDIMENT
"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",ADDICTION IS A DISEASE
It feeds off the election addiction of other people.,ADDICTION IS A DISEASE
Because the â€˜fed' is funding the spending addiction of the government.,GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",GUNS ARE PESTS
In plain English the Senator means that taxpayers need to part with more of their limited income to feed the ever growing spending addiction of the legislature.,GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG
"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",POVERTY IS A DISEASE
"For this situation, I think the most important thing to the people of New York, is that the legislature get off the addiction of taxes, said Paterson.",GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG
"The addiction of wealth is just as serious as cocaine or gluttony, just more civilized",WEALTH IS A RESOURCE
"The most important of these structural changes was that of bringing in the so-called representative or parliamentary system, which Puritanism introduced into the modern world, and which has received a great deal of praise as an advance towards democracy.",DEMOCRACY IS A PLANT
Capitalism was also a major factor in the general advancement of bureaucracy.,BUREAUCRACY IS A MACHINE
"Emphasizing equality, trust and understanding, the Commonwealth facilitates the advancement of democracy, human rights and sustainable economic and social development within its member countries and beyond.",DEMOCRACY IS A PLANT
People on both sides of gun control say some of these reasons why gun violence is an issue today are global news and technological advancement of guns.,GUN VIOLENCE IS A FLUID
"And as democracy advances in the region, a international group of leading Muslim scholars is leading an effort to define an Islamic basis for citizenship and the rights of minorities.",DEMOCRACY IS A PLANT
"November 12, 2008: Ecuador government advances Zamora Hydroelectric Complex",OTHER 
The power to create wealth advances the kingdom of God in a very significant way.,WEALTH IS A RESOURCE
Poverty Alleviation,POVERTY IS A DISEASE
"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",WEALTH IS A RESOURCE
"The president said the target has been set to ensure that the issues of poverty alleviation, food security, diversification of the economy, job creation, amongst others are dealt with while government would also strive to double economic growth after every seven years.",POVERTY IS A DISEASE
"They contend that from wealth accumulation the gear must change to wealth alleviation, because the ways the rich become wealthy often correlate with the ways the number of the poor increase.",WEALTH IS A RESOURCE
Let them know that what we want isn't annihilation of guns.,GUNS ARE OBJECTS OF WORSHIP
"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",GOVERNMENT IS A PERSON
"Garland, TX: Do you think that Liberal Democracy is the apex of the world's governments?",DEMOCRACY IS A PLANT
Hastily-passed omnibus appropriations bills are perhaps the apex of expeditious lawmaking.,LEGISLATIVE ACTIVITY IS MAKING OBJECTS
That's a common problem in this age of voracious tax appetites and people who work/earn money in different states.,TAXATION IS A BURDEN
It is her body as the canvas her appearance as art,BODY IS A CONTAINER FOR EMOTIONS
"Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.",DEMOCRACY IS A FACADE
"Anytime there is a ""massacre"" as defined by the FBI of a killing of 4 or more people the press does a full out assault of guns and gun owners.",GUN CONTROL ADVOCACY IS PHYSICAL HARM
"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",POVERTY IS A DISEASE
They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,POVERTY IS A DISEASE
"The assault of wealth and power upon the government of this people is a Babel-builder's dream of unrestrained, money-maddened voices drowning out all reason.",WEALTH IS A RESOURCE
"When we believe He redeemed us from the curse of poverty and wrap all of our words and actions around that belief, then we strengthen the faith barrier against the attack of poverty.",POVERTY IS A DISEASE
"Where the corporation tax is a direct frontal attack on the institution of private property, the ESOP offers a powerful means for counterattacking in a manner that will simultaneously serve other desirable social goals: it can help overcome shortages in private sector capital formation; it fosters more equity financing; it can help foster more private sector jobs in the fabricating and operations of newly added plant and equipment; it can help expand the federal revenue base from expanded private payrolls and dividend rolls; and it can help create a broader base of shareholder constituents to help corporations surmount unreasonable and unwarranted political attacks.",GOVERNMENT REGULATION IS A BURDEN
WDR 2000/2001: Attacking Poverty,POVERTY IS A DISEASE
World Development Report 2000/2001: Attacking Poverty.,POVERTY IS A DISEASE
"He believes strongly in equity, compassion and empowerment, and that the backbone of democracy is people working together",DEMOCRACY IS A PLANT
"Men, women and children are dying for the lack of a government backbone.",GOVERNMENT IS A PERSON
"In fact, the battle of the ballot could well stretch from Tuesday's Florida primary until weeks after the November election.",ELECTION IS WAR
