"Even if we low ball the numbers, defensive use of a firearm by otherwise lawful individuals is not as rare as criminal abuse of a firearm.",IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION
"Edited by Ron Sider and Heidi Unruh, they take us deep into the world of children and youth who are suffering the ravaging abuse of poverty.",INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION
"But instead of being ashamed, Wal-Mart sees its abuse of taxpayers as a badge of honor and even threatens to hold Maryland jobs hostage which is all but extortion.",MONEY IS A LIQUID
It is environmental blackmail and is an immoral abuse of relative wealth and a serious form of exploitation.,IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS EXPERIENCING A PHYSICAL AFFLICTION
"The story went on to be a classic tale of a customer having a problem, contacting a giant organization, and feeling like their call for help echoed into the unknown abyss of bureaucracy.",INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION
"With the passage of the 17th Amendment, America moved closer to the abyss of democracy and away from the protections which were designed into our system by our Founding Fathers.",IDEOLOGIES ARE ORGANISMS
TC thinks EP voters can be duped into believing that she is shining her holy light into the abyss of government in this 'burg because she is their knight in shining armor.,RELATIONSHIP IS A BOUNDED REGION IN SPACE
"He lowers his hand but lifts his chin in self-righteous indignation, clearly trying to make me feel like an inferior low-life who is being dragged into the abyss of guns, drugs, and alcohol.",IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION
"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",IDEAS ARE OBJECTS
"As Jesus and Elijah gave the widows their sons, today, as a society we must ask who in society should be given a safety net, so they will not fall into the abyss of poverty.",IDEAS ARE POSSESSIONS
In the process they burn their fingers and even fall deeper down the abyss of poverty.,TAXATION IS CAUSING HARM
"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION
It feeds off the election addiction of other people.,DEMOCRACY IS A PLANT
Because the â€˜fed' is funding the spending addiction of the government.,MONEY IS A RESOURCE
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",GUN CONTROL REGULATION IS PHYSICAL HARM
In plain English the Senator means that taxpayers need to part with more of their limited income to feed the ever growing spending addiction of the legislature.,TAXATION IS IMPEDIMENTS TO MOTION
"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",LIFE IS A PRECIOUS POSSESSION
"For this situation, I think the most important thing to the people of New York, is that the legislature get off the addiction of taxes, said Paterson.",INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION
"The addiction of wealth is just as serious as cocaine or gluttony, just more civilized",IDEAS ARE POSSESSIONS
