Government transparency enables the public to hold the government accountable for how they spend their money.,GOVERNMENT IS WITHERED,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,GOVERNMENT IS MACHINE,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,OPPORTUNITY IS DOOR,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,INFLUENTIAL NATIONS ARE LEADERS,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,GOODNESS IS LIGHT,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,GOVERNMENT IS INFECTED,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,GOVERNMENT IS A BUSINESS,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",OTHER,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,GOODNESS IS LIGHT,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITY IS DOOR,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",OPPORTUNITY IS DOOR,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,SMILE IS GET,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,OPPORTUNITY IS PATHS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,GOODNESS IS LIGHT,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,OPPORTUNITY IS PATHS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,GOODNESS IS LIGHT,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",CONTROL IS VERTICALITY,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,GOVERNMENT IS LEAN,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,GOODNESS IS LIGHT,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,LIES IS FEEDING,ACQUIRING IDEAS IS EATING
This article is hard to digest.,OTHER,ACQUIRING IDEAS IS EATING
The car is in motion.,NATION IS A BUILDING,ACTION IS BEING IN A LOCATION
I'm going to leave.,GOODNESS IS LIGHT,ACTION IS BEING IN A LOCATION
She's close to resigning.,GOODNESS IS LIGHT,ACTION IS BEING IN A LOCATION
Devastation from the hurricane thrust the nation into recession.,GOVERNMENT IS INFECTED,ACTION IS MOTION ALONG A PATH
Congress' refusal to compromise is moving the country toward economic ruin.,GOVERNMENT IS MACHINE,ACTION IS MOTION ALONG A PATH
This computer program turns the power on and off.,GOODNESS IS LIGHT,ACTION IS MOTION
He exercised to the point of exhaustion.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She squeezed her way to thinner thighs.,GOODNESS IS LIGHT,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He drank himself out of the promotion.,THINKING IS OBJECT MANIPULATION,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He went on with what he was doing.,GOODNESS IS LIGHT,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She went back to sleep.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She successfully navigated her way through the contract negotiations.,GOVERNMENT IS MACHINE,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
How did Jerry get out of washing the windows?,GOVERNMENT IS MACHINE,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
"Outside of washing the windows, what else did you do?",OTHER,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
I put a lot of energy into washing the windows.,ASSEMBLY IS FOLLOW,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
I get a lot of satisfaction out of washing windows.,OPPORTUNITY IS PATHS,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
Do it over.,GOODNESS IS LIGHT,ACTIVITIES ARE JOURNEYS
"In the course of the investigation, new evidence was found.",ASSEMBLY IS FOLLOW,ACTIVITIES ARE JOURNEYS
Follow along as I assemble this.,GOODNESS IS LIGHT,ACTIVITIES ARE JOURNEYS
Follow these steps in assembly.,GOODNESS IS LIGHT,ACTIVITIES ARE JOURNEYS
"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.",GOVERNMENT IS LEAD,ADDRESSING CRIME IS CONTROLLING AN ANIMAL
Improving access to education is the only sure way to cure us of poverty.,GOVERNMENT IS INFECTED,ADDRESSING POVERTY IS TREATING AN ILLNESS
Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy,GOVERNMENT IS INFECTED,ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS
