Government transparency enables the public to hold the government accountable for how they spend their money.,ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A VEHICLE ENCOUNTERING OBSTACLES,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,INCREASING GOVERNMENT DEBT IS RISING WATER LEVEL,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,INABILITY TO UTILIZE EDUCATIONAL OPPORTUNITY IS INABILITY TO ACCESS A LOCATION,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,PROVIDE EDUCATIONAL OPPORTUNITY IS PROVIDING A RESOURCE,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,ANALYZING IS DISSECTING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",INFORMATION IS CONTENTS,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A VEHICLE ENCOUNTERING OBSTACLES,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS DAMAGING A PHYSICAL STRUCTURE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",HIGH STATUS IS UP,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,HIGH STATUS IS UP,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,ADVOCATING GUN CONTROL IS INSANITY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,MORALITY IS A STRAIGHT PATH,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,NATIONS NOT ABIDING BY INTERNATIONAL LAW ARE OUTLAWS,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",HIGH STATUS IS UP,ACHIEVING POWER IS MOVING UPWARDS
